Segment ID|Station ID|Station Description|Start Date|Start Time|Start Depth|End Date|End Time|End Depth|Submitting Entity|Collecting Entity|Monitoring Type|Composite Category|Composite Type|Parameter Name|Parameter Code|GTLT|Value|RFA/Tag ID|Station Latitude|Station Longitude|Comments
1502|12517|TRES PALACIOS CREEK AT FM 456||||09/22/1987|03:30|0.3|TEXAS COMMISSION ON ENVIRONMENTAL QUALITY|TCEQ REGIONAL OFFICE|Routine - Monitoring not intentionally targeted toward any environmental condition or event|||RESIDUE, TOTAL NONFILTRABLE (MG/L)|00530||22|Z164611|28.9281|-96.171178|WATER GREENISH BROWN AND MURKY. MODERATE CURRENT. SEDIMENT POCKETS OF SILTY MUDAND GRAVEL. VEGETATION ALONG BANKS DEAD FROM HERBICIDE SPRAYING.
1502|12517|TRES PALACIOS CREEK AT FM 456||||09/22/1987|03:30|0.3|TEXAS COMMISSION ON ENVIRONMENTAL QUALITY|TCEQ REGIONAL OFFICE|Routine - Monitoring not intentionally targeted toward any environmental condition or event|||RESIDUE, VOLATILE NONFILTRABLE (MG/L)|00535||4|Z164611|28.9281|-96.171178|WATER GREENISH BROWN AND MURKY. MODERATE CURRENT. SEDIMENT POCKETS OF SILTY MUDAND GRAVEL. VEGETATION ALONG BANKS DEAD FROM HERBICIDE SPRAYING.
1502|12517|TRES PALACIOS CREEK AT FM 456||||09/22/1987|03:30|0.3|TEXAS COMMISSION ON ENVIRONMENTAL QUALITY|TCEQ REGIONAL OFFICE|Routine - Monitoring not intentionally targeted toward any environmental condition or event|||CARBON, TOTAL ORGANIC, NPOC (TOC), MG/L|00680|<|10|Z164611|28.9281|-96.171178|WATER GREENISH BROWN AND MURKY. MODERATE CURRENT. SEDIMENT POCKETS OF SILTY MUDAND GRAVEL. VEGETATION ALONG BANKS DEAD FROM HERBICIDE SPRAYING.
1502|12517|TRES PALACIOS CREEK AT FM 456||||09/22/1987|03:30|0.3|TEXAS COMMISSION ON ENVIRONMENTAL QUALITY|TCEQ REGIONAL OFFICE|Routine - Monitoring not intentionally targeted toward any environmental condition or event|||NITROGEN, AMMONIA, TOTAL (MG/L AS N)|00610||0.062|Z164611|28.9281|-96.171178|WATER GREENISH BROWN AND MURKY. MODERATE CURRENT. SEDIMENT POCKETS OF SILTY MUDAND GRAVEL. VEGETATION ALONG BANKS DEAD FROM HERBICIDE SPRAYING.
1502|12517|TRES PALACIOS CREEK AT FM 456||||09/22/1987|03:30|0.3|TEXAS COMMISSION ON ENVIRONMENTAL QUALITY|TCEQ REGIONAL OFFICE|Routine - Monitoring not intentionally targeted toward any environmental condition or event|||NITRITE PLUS NITRATE, TOTAL ONE LAB DETERMINED VALUE (MG/L AS N)|00630||0.106|Z164611|28.9281|-96.171178|WATER GREENISH BROWN AND MURKY. MODERATE CURRENT. SEDIMENT POCKETS OF SILTY MUDAND GRAVEL. VEGETATION ALONG BANKS DEAD FROM HERBICIDE SPRAYING.
1502|12517|TRES PALACIOS CREEK AT FM 456||||09/22/1987|03:30|0.3|TEXAS COMMISSION ON ENVIRONMENTAL QUALITY|TCEQ REGIONAL OFFICE|Routine - Monitoring not intentionally targeted toward any environmental condition or event|||PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)|00665||0.099|Z164611|28.9281|-96.171178|WATER GREENISH BROWN AND MURKY. MODERATE CURRENT. SEDIMENT POCKETS OF SILTY MUDAND GRAVEL. VEGETATION ALONG BANKS DEAD FROM HERBICIDE SPRAYING.
1502|12517|TRES PALACIOS CREEK AT FM 456||||09/22/1987|03:30|0.3|TEXAS COMMISSION ON ENVIRONMENTAL QUALITY|TCEQ REGIONAL OFFICE|Routine - Monitoring not intentionally targeted toward any environmental condition or event|||CALCIUM, DISSOLVED (MG/L AS CA)|00915||68.2|Z164611|28.9281|-96.171178|WATER GREENISH BROWN AND MURKY. MODERATE CURRENT. SEDIMENT POCKETS OF SILTY MUDAND GRAVEL. VEGETATION ALONG BANKS DEAD FROM HERBICIDE SPRAYING.
1502|12517|TRES PALACIOS CREEK AT FM 456||||09/22/1987|03:30|0.3|TEXAS COMMISSION ON ENVIRONMENTAL QUALITY|TCEQ REGIONAL OFFICE|Routine - Monitoring not intentionally targeted toward any environmental condition or event|||MAGNESIUM, DISSOLVED (MG/L AS MG)|00925||24|Z164611|28.9281|-96.171178|WATER GREENISH BROWN AND MURKY. MODERATE CURRENT. SEDIMENT POCKETS OF SILTY MUDAND GRAVEL. VEGETATION ALONG BANKS DEAD FROM HERBICIDE SPRAYING.
1502|12517|TRES PALACIOS CREEK AT FM 456||||09/22/1987|03:30|0.3|TEXAS COMMISSION ON ENVIRONMENTAL QUALITY|TCEQ REGIONAL OFFICE|Routine - Monitoring not intentionally targeted toward any environmental condition or event|||SODIUM, DISSOLVED (MG/L AS NA)|00930||72|Z164611|28.9281|-96.171178|WATER GREENISH BROWN AND MURKY. MODERATE CURRENT. SEDIMENT POCKETS OF SILTY MUDAND GRAVEL. VEGETATION ALONG BANKS DEAD FROM HERBICIDE SPRAYING.
1502|12517|TRES PALACIOS CREEK AT FM 456||||09/22/1987|03:30|0.3|TEXAS COMMISSION ON ENVIRONMENTAL QUALITY|TCEQ REGIONAL OFFICE|Routine - Monitoring not intentionally targeted toward any environmental condition or event|||POTASSIUM, DISSOLVED (MG/L AS K)|00935||6.23|Z164611|28.9281|-96.171178|WATER GREENISH BROWN AND MURKY. MODERATE CURRENT. SEDIMENT POCKETS OF SILTY MUDAND GRAVEL. VEGETATION ALONG BANKS DEAD FROM HERBICIDE SPRAYING.
1502|12517|TRES PALACIOS CREEK AT FM 456||||09/22/1987|03:30|0.3|TEXAS COMMISSION ON ENVIRONMENTAL QUALITY|TCEQ REGIONAL OFFICE|Routine - Monitoring not intentionally targeted toward any environmental condition or event|||CHLORIDE (MG/L AS CL)|00940||142|Z164611|28.9281|-96.171178|WATER GREENISH BROWN AND MURKY. MODERATE CURRENT. SEDIMENT POCKETS OF SILTY MUDAND GRAVEL. VEGETATION ALONG BANKS DEAD FROM HERBICIDE SPRAYING.
1502|12517|TRES PALACIOS CREEK AT FM 456||||09/22/1987|03:30|0.3|TEXAS COMMISSION ON ENVIRONMENTAL QUALITY|TCEQ REGIONAL OFFICE|Routine - Monitoring not intentionally targeted toward any environmental condition or event|||FLUORIDE, DISSOLVED (MG/L AS F)|00950||0.5|Z164611|28.9281|-96.171178|WATER GREENISH BROWN AND MURKY. MODERATE CURRENT. SEDIMENT POCKETS OF SILTY MUDAND GRAVEL. VEGETATION ALONG BANKS DEAD FROM HERBICIDE SPRAYING.
1502|12517|TRES PALACIOS CREEK AT FM 456||||09/22/1987|03:30|0.3|TEXAS COMMISSION ON ENVIRONMENTAL QUALITY|TCEQ REGIONAL OFFICE|Routine - Monitoring not intentionally targeted toward any environmental condition or event|||SILICA, DISSOLVED (MG/L AS SIO2)|00955||15.3|Z164611|28.9281|-96.171178|WATER GREENISH BROWN AND MURKY. MODERATE CURRENT. SEDIMENT POCKETS OF SILTY MUDAND GRAVEL. VEGETATION ALONG BANKS DEAD FROM HERBICIDE SPRAYING.
1502|12517|TRES PALACIOS CREEK AT FM 456||||09/22/1987|03:30|0.3|TEXAS COMMISSION ON ENVIRONMENTAL QUALITY|TCEQ REGIONAL OFFICE|Routine - Monitoring not intentionally targeted toward any environmental condition or event|||FECAL COLIFORM,MEMBR FILTER,M-FC BROTH, #/100ML|31616|<|5|Z164611|28.9281|-96.171178|WATER GREENISH BROWN AND MURKY. MODERATE CURRENT. SEDIMENT POCKETS OF SILTY MUDAND GRAVEL. VEGETATION ALONG BANKS DEAD FROM HERBICIDE SPRAYING.
1502|12517|TRES PALACIOS CREEK AT FM 456||||09/22/1987|03:30|0.61|TEXAS COMMISSION ON ENVIRONMENTAL QUALITY|TCEQ REGIONAL OFFICE|Routine - Monitoring not intentionally targeted toward any environmental condition or event|||LOSS ON IGNITION, BOTTOM DEPOSITS (MG/KG)|00496||24691|Z164612|28.9281|-96.171178|
1502|12517|TRES PALACIOS CREEK AT FM 456||||09/22/1987|03:30|0.61|TEXAS COMMISSION ON ENVIRONMENTAL QUALITY|TCEQ REGIONAL OFFICE|Routine - Monitoring not intentionally targeted toward any environmental condition or event|||OIL&GREASE,FREON EXTR-GRAV METH,BOT.DEPOS(MG/KG)|00557||106|Z164612|28.9281|-96.171178|
1502|12517|TRES PALACIOS CREEK AT FM 456||||09/22/1987|03:30|0.61|TEXAS COMMISSION ON ENVIRONMENTAL QUALITY|TCEQ REGIONAL OFFICE|Routine - Monitoring not intentionally targeted toward any environmental condition or event|||NITROGEN,ORG. KJEL, BOT. DEPOS (MG/KG-N DRY WT)|00626||333|Z164612|28.9281|-96.171178|
1502|12517|TRES PALACIOS CREEK AT FM 456||||09/22/1987|03:30|0.61|TEXAS COMMISSION ON ENVIRONMENTAL QUALITY|TCEQ REGIONAL OFFICE|Routine - Monitoring not intentionally targeted toward any environmental condition or event|||PHOSPHORUS,TOTAL, BOTTOM DEPOSIT (MG/KG DRY WT)|00668||425|Z164612|28.9281|-96.171178|
1502|12517|TRES PALACIOS CREEK AT FM 456||||09/22/1987|03:30|0.61|TEXAS COMMISSION ON ENVIRONMENTAL QUALITY|TCEQ REGIONAL OFFICE|Routine - Monitoring not intentionally targeted toward any environmental condition or event|||ARSENIC, BOTTOM DEPOSITS (MG/KG AS AS DRY WT)|01003||6.6|Z164612|28.9281|-96.171178|
1502|12517|TRES PALACIOS CREEK AT FM 456||||09/22/1987|03:30|0.61|TEXAS COMMISSION ON ENVIRONMENTAL QUALITY|TCEQ REGIONAL OFFICE|Routine - Monitoring not intentionally targeted toward any environmental condition or event|||BARIUM, BOTTOM DEPOSITS (MG/KG AS BA DRY WT)|01008||146|Z164612|28.9281|-96.171178|
1502|12517|TRES PALACIOS CREEK AT FM 456||||09/22/1987|03:30|0.61|TEXAS COMMISSION ON ENVIRONMENTAL QUALITY|TCEQ REGIONAL OFFICE|Routine - Monitoring not intentionally targeted toward any environmental condition or event|||LEAD, BOTTOM DEPOSITS (MG/KG AS PB DRY WT)|01052|<|1|Z164612|28.9281|-96.171178|
1502|12517|TRES PALACIOS CREEK AT FM 456||||09/22/1987|03:30|0.61|TEXAS COMMISSION ON ENVIRONMENTAL QUALITY|TCEQ REGIONAL OFFICE|Routine - Monitoring not intentionally targeted toward any environmental condition or event|||CADMIUM,TOTAL, BOTTOM DEPOSITS (MG/KG,DRY WT)|01028|<|0.2|Z164612|28.9281|-96.171178|
1502|12517|TRES PALACIOS CREEK AT FM 456||||09/22/1987|03:30|0.61|TEXAS COMMISSION ON ENVIRONMENTAL QUALITY|TCEQ REGIONAL OFFICE|Routine - Monitoring not intentionally targeted toward any environmental condition or event|||CHROMIUM,TOTAL, BOTTOM DEPOSITS (MG/KG,DRY WT|01029||5|Z164612|28.9281|-96.171178|
1502|12517|TRES PALACIOS CREEK AT FM 456||||09/22/1987|03:30|0.61|TEXAS COMMISSION ON ENVIRONMENTAL QUALITY|TCEQ REGIONAL OFFICE|Routine - Monitoring not intentionally targeted toward any environmental condition or event|||COPPER, BOTTOM DEPOSITS (MG/KG AS CU DRY WT)|01043||4|Z164612|28.9281|-96.171178|
1502|12517|TRES PALACIOS CREEK AT FM 456||||09/22/1987|03:30|0.61|TEXAS COMMISSION ON ENVIRONMENTAL QUALITY|TCEQ REGIONAL OFFICE|Routine - Monitoring not intentionally targeted toward any environmental condition or event|||MANGANESE, BOTTOM DEPOSITS (MG/KG AS MN DRY WG|01053||598|Z164612|28.9281|-96.171178|
1502|12517|TRES PALACIOS CREEK AT FM 456||||09/22/1987|03:30|0.61|TEXAS COMMISSION ON ENVIRONMENTAL QUALITY|TCEQ REGIONAL OFFICE|Routine - Monitoring not intentionally targeted toward any environmental condition or event|||NICKEL, TOTAL, BOTTOM DEPOSITS (MG/KG,DRY WT)|01068||9|Z164612|28.9281|-96.171178|
1502|12517|TRES PALACIOS CREEK AT FM 456||||09/22/1987|03:30|0.61|TEXAS COMMISSION ON ENVIRONMENTAL QUALITY|TCEQ REGIONAL OFFICE|Routine - Monitoring not intentionally targeted toward any environmental condition or event|||SILVER, BOTTOM DEPOSITS (MG/KG AS AG DRY WT)|01078|<|0.2|Z164612|28.9281|-96.171178|
1502|12517|TRES PALACIOS CREEK AT FM 456||||09/22/1987|03:30|0.61|TEXAS COMMISSION ON ENVIRONMENTAL QUALITY|TCEQ REGIONAL OFFICE|Routine - Monitoring not intentionally targeted toward any environmental condition or event|||ZINC, BOTTOM DEPOSITS (MG/KG AS ZN DRY WT)|01093||23|Z164612|28.9281|-96.171178|
1502|12517|TRES PALACIOS CREEK AT FM 456||||09/22/1987|03:30|0.61|TEXAS COMMISSION ON ENVIRONMENTAL QUALITY|TCEQ REGIONAL OFFICE|Routine - Monitoring not intentionally targeted toward any environmental condition or event|||SELENIUM, BOTTOM DEPOSITS (MG/KG AS SE DRY WT)|01148||1.2|Z164612|28.9281|-96.171178|
1502|12517|TRES PALACIOS CREEK AT FM 456||||09/22/1987|03:30|0.61|TEXAS COMMISSION ON ENVIRONMENTAL QUALITY|TCEQ REGIONAL OFFICE|Routine - Monitoring not intentionally targeted toward any environmental condition or event|||MERCURY,TOT. IN BOT. DEPOS. (MG/KG) AS HG DRY WG|71921|<|0.02|Z164612|28.9281|-96.171178|
1502|12517|TRES PALACIOS CREEK AT FM 456||||09/22/1987|03:40|0.61|TEXAS COMMISSION ON ENVIRONMENTAL QUALITY|TCEQ REGIONAL OFFICE|Routine - Monitoring not intentionally targeted toward any environmental condition or event|||PCP (PENTACHLOROPHENOL ) IN BOT DEPOS DRY UG/KG|39061|<|0.8|Z164613|28.9281|-96.171178|SEDIMENT WITH POCKETS OF SILTY MUD AND GRAVEL.
1502|12517|TRES PALACIOS CREEK AT FM 456||||09/22/1987|03:40|0.61|TEXAS COMMISSION ON ENVIRONMENTAL QUALITY|TCEQ REGIONAL OFFICE|Routine - Monitoring not intentionally targeted toward any environmental condition or event|||CHLORDANE CIS ISOMER, BOTTOM DEPOSITS(UG/KG DRY)|39064|<|0.1|Z164613|28.9281|-96.171178|SEDIMENT WITH POCKETS OF SILTY MUD AND GRAVEL.
1502|12517|TRES PALACIOS CREEK AT FM 456||||09/22/1987|03:40|0.61|TEXAS COMMISSION ON ENVIRONMENTAL QUALITY|TCEQ REGIONAL OFFICE|Routine - Monitoring not intentionally targeted toward any environmental condition or event|||CHLORDANE TRANS ISOMER, BOTTOM DEPOSITS UG/KG DR|39067|<|0.13|Z164613|28.9281|-96.171178|SEDIMENT WITH POCKETS OF SILTY MUD AND GRAVEL.
